L,sigma,W(0),W(pi),Delta=W(pi)-W(0),preferred
0.7,0.7,-0.57238374,-3.3949824,-2.8225986,AB-like
0.7,0.7125,0.36276839,-3.6072582,-3.9700266,AB-like
0.7,0.725,1.6135469,-3.8003203,-5.4138671,AB-like
0.7,0.7375,3.2502772,-3.9647787,-7.2150559,AB-like
0.7,0.75,5.3558113,-4.0892659,-9.4450773,AB-like
0.7,0.7625,8.0274,-4.1601264,-12.187526,AB-like
0.7,0.775,11.378802,-4.1610661,-15.539868,AB-like
0.7,0.7875,15.542653,-4.0727584,-19.615411,AB-like
0.7,0.8,20.673131,-3.8724014,-24.545532,AB-like
0.7,0.8125,26.94893,-3.5332214,-30.482152,AB-like
0.7,0.825,34.576596,-3.0239173,-37.600513,AB-like
0.7,0.8375,43.794239,-2.3080409,-46.10228,AB-like
0.7,0.85,54.875676,-1.3433046,-56.21898,AB-like
0.7,0.8625,68.135036,-0.080812628,-68.215849,AB-like
0.7,0.875,83.931872,1.535794,-82.396078,AB-like
0.7,0.8875,102.67683,3.5712861,-99.105542,AB-like
0.7,0.9,124.83791,6.0998958,-118.73802,AB-like
0.7,0.9125,150.94744,9.2064782,-141.74096,AB-like
0.7,0.925,181.60968,12.987793,-168.62189,AB-like
0.7,0.9375,217.50928,17.55392,-199.95536,AB-like
0.7,0.95,259.42059,23.029812,-236.39078,AB-like
0.7,0.9625,308.21784,29.55701,-278.66083,AB-like
0.7,0.975,364.88633,37.295522,-327.59081,AB-like
0.7,0.9875,430.53479,46.425884,-384.10891,AB-like
0.7,1,506.40877,57.151417,-449.25735,AB-like
0.7,1.0125,593.9054,69.700703,-524.2047,AB-like
0.7,1.025,694.58949,84.330281,-610.2592,AB-like
0.7,1.0375,810.21104,101.3276,-708.88345,AB-like
0.7,1.05,942.72448,121.01422,-821.71026,AB-like
0.7,1.0625,1094.3094,143.74934,-950.56008,AB-like
0.7,1.075,1267.3934,169.93359,-1097.4598,AB-like
0.7,1.0875,1464.6767,200.01317,-1264.6635,AB-like
0.7,1.1,1689.1586,234.48437,-1454.6742,AB-like
0.7,1.1125,1944.1673,273.89841,-1670.2688,AB-like
0.7,1.125,2233.3904,318.8668,-1914.5236,AB-like
0.7,1.1375,2560.91,370.06699,-2190.843,AB-like
0.7,1.15,2931.2387,428.24861,-2502.9901,AB-like
0.7,1.1625,3349.3601,494.24019,-2855.1199,AB-like
0.7,1.175,3820.7715,568.95635,-3251.8152,AB-like
0.7,1.1875,4351.5306,653.40562,-3698.125,AB-like
0.7,1.2,4948.3053,748.6989,-4199.6064,AB-like
0.7225,0.7,-1.6832081,-3.1402259,-1.4570178,AB-like
0.7225,0.7125,-1.187688,-3.3616622,-2.1739742,AB-like
0.7225,0.725,-0.48935389,-3.5733986,-3.0840447,AB-like
0.7225,0.7375,0.45898353,-3.7685262,-4.2275098,AB-like
0.7225,0.75,1.7130387,-3.938622,-5.6516607,AB-like
0.7225,0.7625,3.3383307,-4.0735085,-7.4118392,AB-like
0.7225,0.775,5.4116257,-4.160983,-9.5726087,AB-like
0.7225,0.7875,8.0225582,-4.1865122,-12.20907,AB-like
0.7225,0.8,11.27545,-4.13289,-15.40834,AB-like
0.7225,0.8125,15.29135,-3.9798525,-19.271203,AB-like
0.7225,0.825,20.210309,-3.7036485,-23.913958,AB-like
0.7225,0.8375,26.193927,-3.2765585,-29.470485,AB-like
0.7225,0.85,33.42818,-2.6663597,-36.09454,AB-like
0.7225,0.8625,42.126576,-1.8357295,-43.962305,AB-like
0.7225,0.875,52.533649,-0.74158346,-53.275232,AB-like
0.7225,0.8875,64.928839,0.66565984,-64.263179,AB-like
0.7225,0.9,79.630786,2.4428922,-77.187894,AB-like
0.7225,0.9125,97.002073,4.6552158,-92.346857,AB-like
0.7225,0.925,117.45447,7.3769371,-110.07753,AB-like
0.7225,0.9375,141.45469,10.692662,-130.76203,AB-like
0.7225,0.95,169.53077,14.698504,-154.83227,AB-like
0.7225,0.9625,202.27905,19.503409,-182.77564,AB-like
0.7225,0.975,240.37183,25.230613,-215.14122,AB-like
0.7225,0.9875,284.56579,32.019243,-252.54654,AB-like
0.7225,1,335.7112,40.026063,-295.68514,AB-like
0.7225,1.0125,394.76203,49.427396,-345.33463,AB-like
0.7225,1.025,462.7869,60.421213,-402.36569,AB-like
0.7225,1.0375,540.98118,73.229422,-467.75175,AB-like
0.7225,1.05,630.68001,88.100359,-542.57965,AB-like
0.7225,1.0625,733.37265,105.31151,-628.06114,AB-like
0.7225,1.075,850.71797,125.17245,-725.54553,AB-like
0.7225,1.0875,984.56136,148.02807,-836.53329,AB-like
0.7225,1.1,1136.953,174.26208,-962.69096,AB-like
0.7225,1.1125,1310.1679,204.30074,-1105.8672,AB-like
0.7225,1.125,1506.7273,238.61704,-1268.1103,AB-like
0.7225,1.1375,1729.4219,277.73507,-1451.6869,AB-like
0.7225,1.15,1981.3376,322.23487,-1659.1027,AB-like
0.7225,1.1625,2265.8821,372.75762,-1893.1245,AB-like
0.7225,1.175,2586.815,430.01125,-2156.8038,AB-like
0.7225,1.1875,2948.2793,494.77647,-2453.5028,AB-like
0.7225,1.2,3354.8355,567.91334,-2786.9222,AB-like
0.745,0.7,-2.224542,-2.8864797,-0.66193773,AB-like
0.745,0.7125,-1.9998838,-3.108451,-1.1085672,AB-like
0.745,0.725,-1.6456041,-3.3274352,-1.6818312,AB-like
0.745,0.7375,-1.1297968,-3.5383865,-2.4085897,AB-like
0.745,0.75,-0.41469204,-3.7350986,-3.3204065,AB-like
0.745,0.7625,0.54422922,-3.9100183,-4.4542476,AB-like
0.745,0.775,1.7992325,-4.0540361,-5.8532686,AB-like
0.745,0.7875,3.4114514,-4.1562487,-7.5677001,AB-like
0.745,0.8,5.4521468,-4.2036934,-9.6558401,AB-like
0.745,0.8125,8.0041167,-4.1810497,-12.185166,AB-like
0.745,0.825,11.163273,-4.0703057,-15.233579,AB-like
0.745,0.8375,15.040402,-3.8503844,-18.890786,AB-like
0.745,0.85,19.763123,-3.4967283,-23.259851,AB-like
0.745,0.8625,25.47807,-2.9808366,-28.458906,AB-like
0.745,0.875,32.353315,-2.2697497,-34.623064,AB-like
0.745,0.8875,40.581049,-1.3254797,-41.906528,AB-like
0.745,0.9,50.380558,-0.10437683,-50.484935,AB-like
0.745,0.9125,62.001508,1.4435688,-60.557939,AB-like
0.745,0.925,75.727568,3.3755001,-72.352068,AB-like
0.745,0.9375,91.880413,5.7565443,-86.123868,AB-like
0.745,0.95,110.82412,8.6607508,-102.16337,AB-like
0.745,0.9625,132.97001,12.172123,-120.79789,AB-like
0.745,0.975,158.78197,16.38575,-142.39622,AB-like
0.745,0.9875,188.78224,21.40905,-167.37319,AB-like
0.745,1,223.55784,27.363131,-196.19471,AB-like
0.745,1.0125,263.76753,34.384283,-229.38325,AB-like
0.745,1.025,310.14943,42.6256,-267.52383,AB-like
0.745,1.0375,363.52936,52.258765,-311.27059,AB-like
0.745,1.05,424.8299,63.475981,-361.35392,AB-like
0.745,1.0625,495.0803,76.49209,-418.5882,AB-like
0.745,1.075,575.42721,91.546865,-483.88034,AB-like
0.745,1.0875,667.1464,108.90751,-558.23889,AB-like
0.745,1.1,771.65543,128.87137,-642.78406,AB-like
0.745,1.1125,890.52747,151.76889,-738.75858,AB-like
0.745,1.125,1025.5062,177.96677,-847.53939,AB-like
0.745,1.1375,1178.5218,207.87147,-970.65038,AB-like
0.745,1.15,1351.709,241.9329,-1109.7761,AB-like
0.745,1.1625,1547.4252,280.64849,-1266.7767,AB-like
0.745,1.175,1768.2715,324.56755,-1443.7039,AB-like
0.745,1.1875,2017.1144,374.29598,-1642.8184,AB-like
0.745,1.2,2297.1098,430.50133,-1866.6085,AB-like
0.7675,0.7,-2.431836,-2.6409075,-0.20907151,AB-like
0.7675,0.7125,-2.3723488,-2.8576687,-0.48531994,AB-like
0.7675,0.725,-2.2310382,-3.0760966,-0.84505838,AB-like
0.7675,0.7375,-1.9862013,-3.2925427,-1.3063414,AB-like
0.7675,0.75,-1.6120619,-3.5024685,-1.8904066,AB-like
0.7675,0.7625,-1.0781518,-3.7003009,-2.6221491,AB-like
0.7675,0.775,-0.34861328,-3.8792687,-3.5306554,AB-like
0.7675,0.7875,0.61858533,-4.0312183,-4.6498036,AB-like
0.7675,0.8,1.8725303,-4.1464072,-6.0189375,AB-like
0.7675,0.8125,3.470349,-4.2132715,-7.6836205,AB-like
0.7675,0.825,5.478313,-4.218166,-9.6964789,AB-like
0.7675,0.8375,7.9730692,-4.145074,-12.118143,AB-like
0.7675,0.85,11.043012,-3.9752833,-15.018295,AB-like
0.7675,0.8625,14.78981,-3.6870257,-18.476835,AB-like
0.7675,0.875,19.330098,-3.255076,-22.585174,AB-like
0.7675,0.8875,24.797363,-2.6503074,-27.44767,AB-like
0.7675,0.9,31.344015,-1.8391991,-33.183214,AB-like
0.7675,0.9125,39.143696,-0.78329118,-39.926987,AB-like
0.7675,0.925,48.393813,0.56141704,-47.832396,AB-like
0.7675,0.9375,59.318342,2.2451308,-57.073211,AB-like
0.7675,0.95,72.170904,4.3249909,-67.845913,AB-like
0.7675,0.9625,87.238155,6.8658774,-80.372278,AB-like
0.7675,0.975,104.84351,9.9412926,-94.902214,AB-like
0.7675,0.9875,125.3512,13.63433,-111.71687,AB-like
0.7675,1,149.17078,18.038735,-131.13205,AB-like
0.7675,1.0125,176.76199,23.260067,-153.50192,AB-like
0.7675,1.025,208.64008,29.416968,-179.22311,AB-like
0.7675,1.0375,245.38167,36.642549,-208.73912,AB-like
0.7675,1.05,287.6311,45.085901,-242.5452,AB-like
0.7675,1.0625,336.10736,54.913742,-281.19361,AB-like
0.7675,1.075,391.61158,66.312207,-325.29938,AB-like
0.7675,1.0875,455.0353,79.4888,-375.5465,AB-like
0.7675,1.1,527.36927,94.674505,-432.69477,AB-like
0.7675,1.1125,609.71317,112.12608,-497.58709,AB-like
0.7675,1.125,703.28603,132.12857,-571.15747,AB-like
0.7675,1.1375,809.43756,154.99794,-654.43962,AB-like
0.7675,1.15,929.66039,181.08407,-748.57632,AB-like
0.7675,1.1625,1065.6033,210.77384,-854.82948,AB-like
0.7675,1.175,1219.0856,244.49459,-974.59105,AB-like
0.7675,1.1875,1392.1125,282.71773,-1109.3948,AB-like
0.7675,1.2,1586.8916,325.96276,-1260.9288,AB-like
0.79,0.7,-2.4470063,-2.4079177,0.039088558,AA-like
0.79,0.7125,-2.4861906,-2.6157923,-0.12960167,AB-like
0.79,0.725,-2.4749068,-2.82848,-0.35357322,AB-like
0.79,0.7375,-2.3983286,-3.0433791,-0.64505047,AB-like
0.79,0.75,-2.2387751,-3.2572048,-1.0184297,AB-like
0.79,0.7625,-1.9752734,-3.4658766,-1.4906033,AB-like
0.79,0.775,-1.583066,-3.6643912,-2.0813253,AB-like
0.79,0.7875,-1.0330565,-3.8466785,-2.813622,AB-like
0.79,0.8,-0.29118729,-4.0054402,-3.7142529,AB-like
0.79,0.8125,0.68225757,-4.1319692,-4.8142268,AB-like
0.79,0.825,1.9334324,-4.2159462,-6.1493786,AB-like
0.79,0.8375,3.5158003,-4.245213,-7.7610133,AB-like
0.79,0.85,5.4911031,-4.2055202,-9.6966233,AB-like
0.79,0.8625,7.9304407,-4.0802448,-12.010686,AB-like
0.79,0.875,10.91547,-3.8500778,-14.765547,AB-like
0.79,0.8875,14.539732,-3.4926765,-18.032409,AB-like
0.79,0.9,18.910128,-2.9822797,-21.892408,AB-like
0.79,0.9125,24.148541,-2.289282,-26.437823,AB-like
0.79,0.925,30.393635,-1.3797634,-31.773399,AB-like
0.79,0.9375,37.802836,-0.21497067,-38.017807,AB-like
0.79,0.95,46.554509,1.2492538,-45.305255,AB-like
0.79,0.9625,56.850354,3.0631008,-53.787253,AB-like
0.79,0.975,68.918043,5.283484,-63.634559,AB-like
0.79,0.9875,83.014101,7.9747977,-75.039303,AB-like
0.79,1,99.427067,11.209746,-88.217321,AB-like
0.79,1.0125,118.48096,15.070252,-103.4107,AB-like
0.79,1.025,140.53904,19.648449,-120.89059,AB-like
0.79,1.0375,166.00796,25.047763,-140.9602,AB-like
0.79,1.05,195.34225,31.3841,-163.95815,AB-like
0.79,1.0625,229.0492,38.787126,-190.26208,AB-like
0.79,1.075,267.69424,47.401674,-220.29256,AB-like
0.79,1.0875,311.90667,57.389266,-254.51741,AB-like
0.79,1.1,362.38602,68.929765,-293.45625,AB-like
0.79,1.1125,419.90881,82.223176,-337.68564,AB-like
0.79,1.125,485.33602,97.491584,-387.84444,AB-like
0.79,1.1375,559.62104,114.98127,-444.63977,AB-like
0.79,1.15,643.81839,134.96498,-508.85341,AB-like
0.79,1.1625,739.09304,157.74441,-581.34863,AB-like
0.79,1.175,846.73058,183.65285,-663.07773,AB-like
0.79,1.1875,968.1481,213.05806,-755.09004,AB-like
0.79,1.2,1104.906,246.36537,-858.54063,AB-like
0.8125,0.7,-2.3557211,-2.1899859,0.16573518,AA-like
0.8125,0.7125,-2.451658,-2.3867694,0.064888611,AA-like
0.8125,0.725,-2.517739,-2.590415,-0.072676026,AB-like
0.8125,0.7375,-2.5438127,-2.7991034,-0.25529071,AB-like
0.8125,0.75,-2.5177102,-3.0104907,-0.49278054,AB-like
0.8125,0.7625,-2.4249339,-3.2216212,-0.79668732,AB-like
0.8125,0.775,-2.2483056,-3.4288271,-1.1805215,AB-like
0.8125,0.7875,-1.9675716,-3.6276168,-1.6600452,AB-like
0.8125,0.8,-1.5589581,-3.8125485,-2.2535904,AB-like
0.8125,0.8125,-0.99467408,-3.9770884,-2.9824143,AB-like
0.8125,0.825,-0.24235422,-4.1134519,-3.8710977,AB-like
0.8125,0.8375,0.73556218,-4.2124266,-4.9479888,AB-like
0.8125,0.85,1.9825241,-4.2631737,-6.2456978,AB-like
0.8125,0.8625,3.5486391,-4.2530078,-7.8016469,AB-like
0.8125,0.875,5.4915299,-4.1671517,-9.6586816,AB-like
0.8125,0.8875,7.877283,-3.9884643,-11.865747,AB-like
0.8125,0.9,10.7815,-3.6971388,-14.478639,AB-like
0.8125,0.9125,14.290461,-3.2703697,-17.560831,AB-like
0.8125,0.925,18.502405,-2.6819833,-21.184388,AB-like
0.8125,0.9375,23.528948,-1.902032,-25.43098,AB-like
0.8125,0.95,29.496636,-0.89634625,-30.392983,AB-like
0.8125,0.9625,36.548663,0.37395841,-36.174705,AB-like
0.8125,0.975,44.846747,1.9530221,-42.893725,AB-like
0.8125,0.9875,54.573193,3.8908343,-50.682359,AB-like
0.8125,1,65.933154,6.243885,-59.68927,AB-like
0.8125,1.0125,79.157101,9.0758758,-70.081226,AB-like
0.8125,1.025,94.503524,12.458499,-82.045025,AB-like
0.8125,1.0375,112.26188,16.472287,-95.789594,AB-like
0.8125,1.05,132.75581,21.20754,-111.54827,AB-like
0.8125,1.0625,156.34664,26.765335,-129.58131,AB-like
0.8125,1.075,183.4372,33.258624,-150.17858,AB-like
0.8125,1.0875,214.47594,40.813432,-173.6625,AB-like
0.8125,1.1,249.96145,49.570152,-200.39129,AB-like
0.8125,1.1125,290.44734,59.684954,-230.76239,AB-like
0.8125,1.125,336.54754,71.331311,-265.21623,AB-like
0.8125,1.1375,388.94199,84.701656,-304.24034,AB-like
0.8125,1.15,448.38287,100.00916,-348.37371,AB-like
0.8125,1.1625,515.70128,117.48969,-398.21159,AB-like
0.8125,1.175,591.81449,137.40387,-454.41062,AB-like
0.8125,1.1875,677.73373,160.03933,-517.6944,AB-like
0.8125,1.2,774.57263,185.7132,-588.85943,AB-like
0.835,0.7,-2.2095523,-1.9882542,0.22129809,AA-like
0.835,0.7125,-2.3358607,-2.1727775,0.16308325,AA-like
0.835,0.725,-2.4458527,-2.3654184,0.080434286,AA-like
0.835,0.7375,-2.5325783,-2.5649404,-0.032362095,AB-like
0.835,0.75,-2.5876518,-2.7697047,-0.18205295,AB-like
0.835,0.7625,-2.601027,-2.9776014,-0.37657437,AB-like
0.835,0.775,-2.560745,-3.1859714,-0.62522639,AB-like
0.835,0.7875,-2.4526488,-3.3915186,-0.93886976,AB-like
0.835,0.8,-2.2600641,-3.5902108,-1.3301467,AB-like
0.835,0.8125,-1.9634404,-3.7771684,-1.813728,AB-like
0.835,0.825,-1.5399505,-3.9465403,-2.4065898,AB-like
0.835,0.8375,-0.96304231,-4.091364,-3.1283217,AB-like
0.835,0.85,-0.20194011,-4.2034106,-4.0014705,AB-like
0.835,0.8625,0.77891113,-4.2730115,-5.0519226,AB-like
0.835,0.875,2.0204626,-4.2888658,-6.3093285,AB-like
0.835,0.8875,3.5697462,-4.2378266,-7.8075728,AB-like
0.835,0.9,5.4806319,-4.1046639,-9.5852958,AB-like
0.835,0.9125,7.8146664,-3.8718026,-11.686469,AB-like
0.835,0.925,10.641998,-3.5190328,-14.16103,AB-like
0.835,0.9375,14.042395,-3.0231904,-17.065586,AB-like
0.835,0.95,18.106374,-2.3578045,-20.464178,AB-like
0.835,0.9625,22.936428,-1.4927109,-24.429139,AB-like
0.835,0.975,28.648388,-0.39362603,-29.042014,AB-like
0.835,0.9875,35.372909,0.97831981,-34.394589,AB-like
0.835,1,43.257097,2.6670939,-40.590003,AB-like
0.835,1.0125,52.466296,4.722321,-47.743975,AB-like
0.835,1.025,63.186035,7.1998961,-55.986139,AB-like
0.835,1.0375,75.624153,10.162652,-65.461501,AB-like
0.835,1.05,90.01312,13.681089,-76.332031,AB-like
0.835,1.0625,106.61257,17.834169,-88.778396,AB-like
0.835,1.075,125.71203,22.710182,-103.00184,AB-like
0.835,1.0875,147.63393,28.40768,-119.22625,AB-like
0.835,1.1,172.73685,35.036508,-137.70034,AB-like
0.835,1.1125,201.41902,42.718903,-158.70012,AB-like
0.835,1.125,234.12215,51.590698,-182.53145,AB-like
0.835,1.1375,271.33557,61.802626,-209.53294,AB-like
0.835,1.15,313.60067,73.521723,-240.07895,AB-like
0.835,1.1625,361.51579,86.932851,-274.58294,AB-like
0.835,1.175,415.74137,102.24034,-313.50103,AB-like
0.835,1.1875,477.00565,119.66978,-357.33587,AB-like
0.835,1.2,546.1107,139.46989,-406.64081,AB-like
0.8575,0.7,-2.0392796,-1.8029634,0.23631623,AA-like
0.8575,0.7125,-2.179462,-1.9747751,0.20468691,AA-like
0.8575,0.725,-2.3121808,-2.1553909,0.15678991,AA-like
0.8575,0.7375,-2.432693,-2.3440069,0.088686122,AA-like
0.8575,0.75,-2.5352268,-2.5395108,-0.0042839455,AB-like
0.8575,0.7625,-2.6128192,-2.740428,-0.12760881,AB-like
0.8575,0.775,-2.6571316,-2.9448599,-0.28772834,AB-like
0.8575,0.7875,-2.6582439,-3.1504153,-0.49217136,AB-like
0.8575,0.8,-2.6044218,-3.3541319,-0.74971004,AB-like
0.8575,0.8125,-2.4818567,-3.5523896,-1.0705329,AB-like
0.8575,0.825,-2.2743739,-3.740812,-1.4664381,AB-like
0.8575,0.8375,-1.9631077,-3.914157,-1.9510493,AB-like
0.8575,0.85,-1.5261382,-4.0661944,-2.5400562,AB-like
0.8575,0.8625,-0.9380877,-4.1895695,-3.2514818,AB-like
0.8575,0.875,-0.16967186,-4.2756513,-4.1059794,AB-like
0.8575,0.8875,0.81279777,-4.3143644,-5.1271622,AB-like
0.8575,0.9,2.047965,-4.2940021,-6.3419671,AB-like
0.8575,0.9125,3.5800387,-4.2010198,-7.7810584,AB-like
0.8575,0.925,5.4594655,-4.0198066,-9.4792721,AB-like
0.8575,0.9375,7.7436722,-3.7324338,-11.476106,AB-like
0.8575,0.95,10.497883,-3.3183767,-13.81626,AB-like
0.8575,0.9625,13.796018,-2.7542099,-16.550228,AB-like
0.8575,0.975,17.721681,-2.0132713,-19.734953,AB-like
0.8575,0.9875,22.36924,-1.065294,-23.434534,AB-like
0.8575,1,27.845015,0.12399698,-27.721018,AB-like
0.8575,1.0125,34.268574,1.5933268,-32.675247,AB-like
0.8575,1.025,41.774154,3.3863532,-38.387801,AB-like
0.8575,1.0375,50.512206,5.5521944,-44.960012,AB-like
0.8575,1.05,60.651084,8.1460038,-52.50508,AB-like
0.8575,1.0625,72.378887,11.229597,-61.14929,AB-like
0.8575,1.075,85.905455,14.872134,-71.03332,AB-like
0.8575,1.0875,101.46455,19.150861,-82.313688,AB-like
0.8575,1.1,119.31621,24.151916,-95.164298,AB-like
0.8575,1.1125,139.74934,29.971202,-109.77813,AB-like
0.8575,1.125,163.08443,36.715338,-126.36909,AB-like
0.8575,1.1375,189.67664,44.502681,-145.17396,AB-like
0.8575,1.15,219.919,53.464442,-166.45455,AB-like
0.8575,1.1625,254.24594,63.745882,-190.50006,AB-like
0.8575,1.175,293.13712,75.507613,-217.62951,AB-like
0.8575,1.1875,337.1215,88.926995,-248.1945,AB-like
0.8575,1.2,386.78175,104.19965,-282.5821,AB-like
0.88,0.7,-1.8629594,-1.6337632,0.22919614,AA-like
0.88,0.7125,-2.0068319,-1.7928992,0.21393274,AA-like
0.88,0.725,-2.148973,-1.9611223,0.18785069,AA-like
0.88,0.7375,-2.2861691,-2.1379483,0.14822081,AA-like
0.88,0.75,-2.4144655,-2.3226567,0.091808775,AA-like
0.88,0.7625,-2.5290471,-2.5142484,0.014798673,AA-like
0.88,0.775,-2.6241042,-2.7113973,-0.087293122,AB-like
0.88,0.7875,-2.6926811,-2.9123959,-0.2197148,AB-like
0.88,0.8,-2.7265061,-3.1150939,-0.38858784,AB-like
0.88,0.8125,-2.7158007,-3.3168294,-0.60102877,AB-like
0.88,0.825,-2.6490662,-3.5143515,-0.86528533,AB-like
0.88,0.8375,-2.5128453,-3.7037338,-1.1908885,AB-like
0.88,0.85,-2.2914561,-3.8802777,-1.5888216,AB-like
0.88,0.8625,-1.966696,-4.0384051,-2.0717091,AB-like
0.88,0.875,-1.5175128,-4.1715381,-2.6540253,AB-like
0.88,0.8875,-0.91963982,-4.2719662,-3.3523263,AB-like
0.88,0.9,-0.14519166,-4.3306989,-4.1855072,AB-like
0.88,0.9125,0.837783,-4.3373022,-5.1750852,AB-like
0.88,0.925,2.0657951,-4.2797183,-6.3455134,AB-like
0.88,0.9375,3.5804596,-4.1440663,-7.7245258,AB-like
0.88,0.95,5.4290951,-3.9144228,-9.3435179,AB-like
0.88,0.9625,7.6653836,-3.5725804,-11.237964,AB-like
0.88,0.975,10.350094,-3.0977825,-13.447877,AB-like
0.88,0.9875,13.551878,-2.4664317,-16.018309,AB-like
0.88,1,17.348137,-1.6517711,-18.999908,AB-like
0.88,1.0125,21.82598,-0.6235343,-22.449514,AB-like
0.88,1.025,27.08326,0.65243616,-26.430823,AB-like
0.88,1.0375,33.229711,2.2146063,-31.015105,AB-like
0.88,1.05,40.38819,4.1062057,-36.281985,AB-like
0.88,1.0625,48.696026,6.3757237,-42.320302,AB-like
0.88,1.075,58.306485,9.0774492,-49.229036,AB-like
0.88,1.0875,69.390374,12.272057,-57.118317,AB-like
0.88,1.1,82.137771,16.027248,-66.110524,AB-like
0.88,1.1125,96.759909,20.418436,-76.341474,AB-like
0.88,1.125,113.49122,25.529504,-87.961712,AB-like
0.88,1.1375,132.59152,31.453613,-101.13791,AB-like
0.88,1.15,154.34845,38.294082,-116.05436,AB-like
0.88,1.1625,179.07999,46.16534,-132.91465,AB-like
0.88,1.175,207.13733,55.193951,-151.94338,AB-like
0.88,1.1875,238.90782,65.519723,-173.38809,AB-like
0.88,1.2,274.81822,77.296905,-197.52131,AB-like
0.9025,0.7,-1.6908568,-1.4799321,0.21092466,AA-like
0.9025,0.7125,-1.8322777,-1.6267493,0.20552837,AA-like
0.9025,0.725,-1.9756145,-1.7826555,0.19295901,AA-like
0.9025,0.7375,-2.1187181,-1.9474007,0.17131741,AA-like
0.9025,0.75,-2.2589026,-2.1205544,0.13834816,AA-like
0.9025,0.7625,-2.3928577,-2.3014722,0.091385459,AA-like
0.9025,0.775,-2.5165497,-2.4892576,0.02729214,AA-like
0.9025,0.7875,-2.62511,-2.6827189,-0.057608944,AB-like
0.9025,0.8,-2.7127092,-2.8803211,-0.16761192,AB-like
0.9025,0.8125,-2.7724167,-3.0801309,-0.30771418,AB-like
0.9025,0.825,-2.7960431,-3.2797559,-0.48371282,AB-like
0.9025,0.8375,-2.7739638,-3.4762761,-0.70231235,AB-like
0.9025,0.85,-2.6949229,-3.6661676,-0.97124464,AB-like
0.9025,0.8625,-2.5458144,-3.8452168,-1.2994024,AB-like
0.9025,0.875,-2.3114387,-4.0084261,-1.6969874,AB-like
0.9025,0.8875,-1.9742334,-4.1499083,-2.1756748,AB-like
0.9025,0.9,-1.5139744,-4.2627695,-2.7487951,AB-like
0.9025,0.9125,-0.90744495,-4.3389802,-3.4315353,AB-like
0.9025,0.925,-0.12807091,-4.3692317,-4.2411607,AB-like
0.9025,0.9375,0.85448198,-4.3427783,-5.1972603,AB-like
0.9025,0.95,2.0747516,-4.2472636,-6.3220152,AB-like
0.9025,0.9625,3.5719672,-4.0685288,-7.6404961,AB-like
0.9025,0.975,5.3905852,-3.7904021,-9.1809873,AB-like
0.9025,0.9875,7.5808766,-3.3944677,-10.975344,AB-like
0.9025,1,10.199571,-2.8598127,-13.059384,AB-like
0.9025,1.0125,13.310563,-2.1627499,-15.473313,AB-like
0.9025,1.025,16.985678,-1.2765142,-18.262192,AB-like
0.9025,1.0375,21.305518,-0.17093217,-21.47645,AB-like
0.9025,1.05,26.360376,1.1879398,-25.172437,AB-like
0.9025,1.0625,32.251237,2.8382088,-29.413028,AB-like
0.9025,1.075,39.090863,4.8225741,-34.268288,AB-like
0.9025,1.0875,47.004975,7.1887928,-39.816182,AB-like
0.9025,1.1,56.133541,9.9901866,-46.143354,AB-like
0.9025,1.1125,66.632163,13.28619,-53.345973,AB-like
0.9025,1.125,78.673593,17.142949,-61.530644,AB-like
0.9025,1.1375,92.449362,21.63396,-70.815402,AB-like
0.9025,1.15,108.17156,26.840776,-81.330779,AB-like
0.9025,1.1625,126.07472,32.853754,-93.220965,AB-like
0.9025,1.175,146.41793,39.772876,-106.64506,AB-like
0.9025,1.1875,169.48703,47.708625,-121.7784,AB-like
0.9025,1.2,195.59701,56.782939,-138.81407,AB-like
0.925,0.7,-1.5284811,-1.3405314,0.18794964,AA-like
0.925,0.7125,-1.663895,-1.4755895,0.18830542,AA-like
0.925,0.725,-1.8034776,-1.6195466,0.18393099,AA-like
0.925,0.7375,-1.9458223,-1.7723226,0.17349968,AA-like
0.925,0.75,-2.0891327,-1.9337004,0.15543223,AA-like
0.925,0.7625,-2.2311569,-2.1032986,0.12785824,AA-like
0.925,0.775,-2.3691146,-2.2805419,0.088572693,AA-like
0.925,0.7875,-2.4996138,-2.4646266,0.03498713,AA-like
0.925,0.8,-2.6185576,-2.6544829,-0.03592525,AB-like
0.925,0.8125,-2.7210399,-2.848731,-0.12769105,AB-like
0.925,0.825,-2.8012275,-3.0456329,-0.24440541,AB-like
0.925,0.8375,-2.8522297,-3.2430384,-0.39080877,AB-like
0.925,0.85,-2.8659517,-3.438324,-0.57237233,AB-like
0.925,0.8625,-2.832932,-3.6283252,-0.79539321,AB-like
0.925,0.875,-2.7421616,-3.8092617,-1.0671001,AB-like
0.925,0.8875,-2.5808825,-3.9766529,-1.3957703,AB-like
0.925,0.9,-2.3343659,-4.1252256,-1.7908597,AB-like
0.925,0.9125,-1.9856653,-4.248811,-2.2631457,AB-like
0.925,0.925,-1.5153448,-4.3402309,-2.824886,AB-like
0.925,0.9375,-0.90117928,-4.391172,-3.4899927,AB-like
0.925,0.95,-0.11782339,-4.392048,-4.2742246,AB-like
0.925,0.9625,0.86355155,-4.3318467,-5.1953983,AB-like
0.925,0.975,2.075657,-4.1979631,-6.2736202,AB-like
